Symbol,Item,Date,Value,Created_at
A,Market Capitalization,2025-05-06,30423.0,2025-05-06 23:40:10.749953
A,Market Cap Growth,2025-05-06,13.4,2025-05-06 23:40:10.749953
A,Enterprise Value,2025-05-06,32414.0,2025-05-06 23:40:10.749953
A,Last Close Price,2025-05-06,108.37,2025-05-06 23:40:10.749953
A,PE Ratio,2025-05-06,24.48,2025-05-06 23:40:10.749953
A,Forward PE,2025-05-06,18.83,2025-05-06 23:40:10.749953
A,PS Ratio,2025-05-06,4.78,2025-05-06 23:40:10.749953
A,PB Ratio,2025-05-06,5.13,2025-05-06 23:40:10.749953
A,P/TBV Ratio,2025-05-06,27.99,2025-05-06 23:40:10.749953
A,P/FCF Ratio,2025-05-06,23.13,2025-05-06 23:40:10.749953
A,P/OCF Ratio,2025-05-06,17.88,2025-05-06 23:40:10.749953
A,PEG Ratio,2025-05-06,2.63,2025-05-06 23:40:10.749953
A,EV/Sales Ratio,2025-05-06,4.96,2025-05-06 23:40:10.749953
A,EV/EBITDA Ratio,2025-05-06,17.99,2025-05-06 23:40:10.749953
A,EV/EBIT Ratio,2025-05-06,21.12,2025-05-06 23:40:10.749953
A,EV/FCF Ratio,2025-05-06,24.71,2025-05-06 23:40:10.749953
A,Debt / Equity Ratio,2025-05-06,0.59,2025-05-06 23:40:10.749953
A,Debt / EBITDA Ratio,2025-05-06,1.91,2025-05-06 23:40:10.749953
A,Debt / FCF Ratio,2025-05-06,2.7,2025-05-06 23:40:10.749953
A,Asset Turnover,2025-05-06,0.57,2025-05-06 23:40:10.749953
A,Inventory Turnover,2025-05-06,2.96,2025-05-06 23:40:10.749953
A,Quick Ratio,2025-05-06,1.5,2025-05-06 23:40:10.749953
A,Current Ratio,2025-05-06,2.2,2025-05-06 23:40:10.749953
A,Return on Equity (ROE),2025-05-06,20.61,2025-05-06 23:40:10.749953
A,Return on Assets (ROA),2025-05-06,8.39,2025-05-06 23:40:10.749953
A,Return on Capital (ROIC),2025-05-06,10.39,2025-05-06 23:40:10.749953
A,Return on Capital Employed (ROCE),2025-05-06,15.3,2025-05-06 23:40:10.749953
A,Earnings Yield,2025-05-06,4.15,2025-05-06 23:40:10.749953
A,FCF Yield,2025-05-06,4.32,2025-05-06 23:40:10.749953
A,Dividend Yield,2025-05-06,0.93,2025-05-06 23:40:10.749953
A,Payout Ratio,2025-05-06,22.76,2025-05-06 23:40:10.749953
A,Buyback Yield / Dilution,2025-05-06,2.03,2025-05-06 23:40:10.749953
A,Total Shareholder Return,2025-05-06,2.96,2025-05-06 23:40:10.749953
